Division,Position,Number,Player Name,Status,Quick Stats,yard gain,type,other,stat,thing1,thing,thing3,team,,,
AFC North,QB,6,"Mayfield, Baker",ACT,TDS,--,INT,--,YDS,--,RTG,--,CLE,,,
AFC North,DB,38,"McKinnon, Jeremiah",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,DB,30,"Meander, Montrel",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,DT,98,"Meder, Jamie",ACT,TCKL,13,SCK,0,FF,0,INT,--,CLE,,,
AFC North,DB,39,"Mitchell, Terrance",ACT,TCKL,53,SCK,0,FF,0,INT,4,CLE,,,
AFC North,DE,94,"Nassib, Carl",ACT,TCKL,32,SCK,3,FF,0,INT,--,CLE,,,
AFC North,TE,85,"Njoku, David",ACT,REC,32,YDS,386,AVG,12.1,TDS,4,CLE,,,
AFC North,DE,90,"Ogbah, Emmanuel",ACT,TCKL,29,SCK,4,FF,2,INT,--,CLE,,,
AFC North,DT,65,"Ogunjobi, Larry",ACT,TCKL,32,SCK,1,FF,0,INT,--,CLE,,,
AFC North,DE,44,"Orchard, Nate",ACT,TCKL,25,SCK,2,FF,1,INT,--,CLE,,,
AFC North,DB,22,"Peppers, Jabrill",ACT,TCKL,57,SCK,0,FF,0,INT,1,CLE,,,
AFC North,DB,23,"Randall, Damarious",ACT,TCKL,47,SCK,0,FF,0,INT,4,CLE,,,
AFC North,WR,18,"Ratley, Damion",ACT,REC,--,YDS,--,AVG,--,TDS,--,CLE,,,
AFC North,C,62,"Reiter, Austin",ACT,G,16,GS,0,,,,,CLE,,,
AFC North,DB,37,"Rice, Denzel",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
